pairing,condition,seed,vessel_collision_rate,vessel_collisions_per_ep,near_misses_per_ep,min_cpa,collision_contact_steps,give_way_events,success_rate,mean_reward,static_collisions,cte_mean,iala_violations,dropped_frames,docking_accuracy,optimality_ratio,mean_steps,n_encounters,n_vessel_rows,n_solved
DQN_vs_DQN,harsh,1,13.333333333333334,0.26666666666666666,0.13333333333333333,259.3983366666667,1.1666666666666667,0.5333333333333333,16.666666666666664,-172.33435833333337,0.8666666666666667,75.43928833333332,65.18333333333334,22.333333333333332,9.97834,4.84873,54.78333333333333,30,60,10
DQN_vs_DQN,harsh,2,30.0,0.5333333333333333,0.3333333333333333,187.84385666666668,7.233333333333333,1.6666666666666667,18.333333333333332,-328.41702166666676,0.26666666666666666,33.71749166666666,67.03333333333333,20.0,6.976345454545455,4.457,51.266666666666666,30,60,11
DQN_vs_DQN,harsh,3,33.33333333333333,1.0333333333333334,0.9333333333333333,191.23057,3.033333333333333,3.1333333333333333,21.666666666666668,-242.81074333333336,1.2,42.004805,60.68333333333333,20.933333333333334,8.597653846153845,2.6836,51.03333333333333,30,60,13
DQN_vs_DQN,harsh,4,26.666666666666668,0.6,0.43333333333333335,201.67005333333336,2.6,1.3,16.666666666666664,-206.65440499999997,0.38333333333333336,61.38630833333333,62.833333333333336,21.3,7.966500000000001,3.3855600000000003,54.78333333333333,30,60,10
DQN_vs_DQN,harsh,5,20.0,0.4,1.4,170.80156333333335,1.6333333333333333,2.466666666666667,25.0,-200.97974833333333,1.6,55.75099666666666,69.01666666666667,22.15,9.776493333333333,4.45754,53.63333333333333,30,60,15
DQN_vs_DQN,harsh,6,33.33333333333333,0.6333333333333333,0.7333333333333333,156.36587,1.5,1.8333333333333333,21.666666666666668,-203.97966333333335,1.4333333333333333,54.785250000000005,63.21666666666667,21.966666666666665,10.080161538461539,4.209007692307693,53.81666666666667,30,60,13
DQN_vs_DQN,harsh,7,16.666666666666664,0.4,0.3333333333333333,209.02046333333337,1.0,0.9333333333333333,35.0,-125.69652833333332,0.75,38.228595,54.68333333333333,19.2,13.24255238095238,3.2307380952380953,47.03333333333333,30,60,21
DQN_vs_DQN,mid,0,16.666666666666664,0.3,0.26666666666666666,270.76275,4.033333333333333,6.9,26.666666666666668,-287.070205,0.6166666666666667,58.04932,15.95,9.65,5.048818750000001,2.71064375,49.1,30,60,16
DQN_vs_DQN,mid,1,23.333333333333332,0.5,0.26666666666666666,244.1465266666667,5.533333333333333,1.3666666666666667,18.333333333333332,-323.41279000000003,1.9,60.61367166666666,19.983333333333334,10.5,4.920090909090909,2.1802545454545457,52.0,30,60,11
DQN_vs_DQN,mid,2,36.666666666666664,0.7666666666666667,1.0333333333333334,165.86601999999996,7.2,3.966666666666667,11.666666666666666,-363.5492366666667,0.15,32.387791666666665,19.366666666666667,10.6,3.4559,2.024442857142857,53.65,30,60,7
DQN_vs_DQN,mid,3,26.666666666666668,0.36666666666666664,0.5,205.29127,3.6666666666666665,4.666666666666667,28.333333333333332,-224.11862166666668,0.36666666666666664,37.28756833333332,17.433333333333334,9.183333333333334,4.7520058823529405,1.9524764705882351,47.96666666666667,30,60,17
DQN_vs_DQN,mid,4,16.666666666666664,0.26666666666666666,0.8666666666666667,195.57572,2.8666666666666667,2.1,36.666666666666664,-153.698175,0.21666666666666667,25.275336666666668,14.85,8.566666666666666,5.0466500000000005,1.6767772727272727,44.1,30,60,22
DQN_vs_DQN,mid,5,16.666666666666664,0.43333333333333335,0.26666666666666666,236.32705,2.933333333333333,1.8333333333333333,25.0,-194.95450666666667,0.45,20.33939333333333,16.65,10.183333333333334,6.0029200000000005,1.6502466666666669,47.36666666666667,30,60,15
DQN_vs_DQN,mid,6,33.33333333333333,0.7333333333333333,0.4,177.00340666666665,5.9,2.966666666666667,30.0,-286.68217166666665,0.4,40.58062333333334,17.2,9.966666666666667,4.5680555555555555,2.2640833333333337,48.38333333333333,30,60,18
DQN_vs_DQN,mid,7,20.0,0.5,0.13333333333333333,190.12879666666666,5.433333333333334,1.8333333333333333,38.333333333333336,-227.78909166666665,0.35,28.128871666666665,14.6,8.416666666666666,5.641395652173913,2.3055565217391303,43.416666666666664,30,60,23
DQN_vs_RuleBased,clean,0,16.666666666666664,0.5333333333333333,0.0,135.17827333333332,1.2666666666666666,0.6333333333333333,48.333333333333336,-53.64649666666666,0.0,15.74317,0.0,0.0,0.0,1.0,35.63333333333333,30,60,29
DQN_vs_RuleBased,clean,1,20.0,0.2,0.06666666666666667,248.34743000000006,0.26666666666666666,0.23333333333333334,10.0,-121.45809666666668,0.05,38.12202666666667,0.0,0.0,0.0,1.0,53.916666666666664,30,60,6
DQN_vs_RuleBased,clean,2,13.333333333333334,0.26666666666666666,0.03333333333333333,198.03058666666666,0.6,0.3,20.0,-103.55454666666668,0.0,33.56104166666667,0.0,0.0,0.0,1.0,49.05,30,60,12
