condition,metric,reference,vs,n,mean_x,mean_y,mean_diff,wilcoxon_p,t_p,cohens_dz,cliffs_delta,wilcoxon_p_holm,wilcoxon_p_bh,sig_holm,effect_mag
harsh,vessel_collision_rate,RuleBased_vs_RuleBased,DQN_vs_RuleBased,8,37.916666666666664,25.833333333333332,12.083333333333332,0.0546875,0.05550602704909637,0.8109367480229346,0.578125,0.109375,0.08203125,False,large
harsh,vessel_collisions_per_ep,RuleBased_vs_RuleBased,DQN_vs_DQN,8,0.9458333333333333,0.5583333333333333,0.3875,0.0390625,0.04606903947234718,0.8557201026324825,0.5,0.1171875,0.08203125,False,large
harsh,vessel_collisions_per_ep,RuleBased_vs_RuleBased,DDQN_vs_DDQN,8,0.9458333333333333,0.7208333333333333,0.225,0.39802471950693785,0.23277026606875917,0.46180601380141145,0.234375,0.39802471950693785,0.3980247195069378,False,small
harsh,vessel_collisions_per_ep,RuleBased_vs_RuleBased,DQN_vs_RuleBased,8,0.9458333333333333,0.5125,0.4333333333333333,0.0546875,0.04227181146870654,0.8764598212022148,0.5625,0.1171875,0.08203125,False,large
harsh,near_misses_per_ep,RuleBased_vs_RuleBased,DQN_vs_DQN,8,0.5958333333333332,0.625,-0.029166666666666625,0.84375,0.872968994830016,-0.058634257090565876,-0.09375,1.0,0.8657723749926213,False,negligible
harsh,near_misses_per_ep,RuleBased_vs_RuleBased,DDQN_vs_DDQN,8,0.5958333333333332,0.5499999999999999,0.045833333333333365,0.8657723749926214,0.8182566474550164,0.08435480771269804,0.078125,1.0,0.8657723749926213,False,negligible
harsh,near_misses_per_ep,RuleBased_vs_RuleBased,DQN_vs_RuleBased,8,0.5958333333333332,0.2791666666666667,0.31666666666666665,0.0546875,0.03474232952245924,0.9239676489013109,0.609375,0.1640625,0.1640625,False,large
harsh,min_cpa,RuleBased_vs_RuleBased,DQN_vs_DQN,8,119.70446749999998,198.77624833333334,-79.07178083333336,0.015625,0.002200621813463645,-1.6627848152019464,-0.84375,0.046875,0.015625,True,large
harsh,min_cpa,RuleBased_vs_RuleBased,DDQN_vs_DDQN,8,119.70446749999998,193.68447666666668,-73.98000916666669,0.015625,0.003991108777820302,-1.4880768082509963,-0.78125,0.046875,0.015625,True,large
harsh,min_cpa,RuleBased_vs_RuleBased,DQN_vs_RuleBased,8,119.70446749999998,192.44626583333334,-72.74179833333335,0.015625,0.00307833400324298,-1.562985966436037,-0.8125,0.046875,0.015625,True,large
