agent,condition,seed,success_rate,mean_reward,collision_rate,collisions_per_ep,iala_violations,cte_mean,dropped_frames,docking_accuracy,optimality_ratio,mean_steps,n_solved,n_eval
DuelingDoubleDQN,clean,13,0.0,-157.17028333333337,16.666666666666664,0.16666666666666666,0.0,90.50872666666666,0.0,,,60.0,0,30
DuelingDoubleDQN,clean,14,3.3333333333333335,-128.1634,13.333333333333334,0.13333333333333333,0.0,16.25936,0.0,0.0,1.0,58.03333333333333,1,30
DuelingDoubleDQN,harsh,0,36.666666666666664,-118.87988,66.66666666666666,2.6,52.833333333333336,27.92033666666667,17.933333333333334,10.637054545454545,1.7958727272727273,44.63333333333333,11,30
DuelingDoubleDQN,harsh,1,16.666666666666664,-147.69242999999997,53.333333333333336,1.6666666666666667,70.7,46.41868666666666,21.7,10.983920000000001,4.16128,55.13333333333333,5,30
DuelingDoubleDQN,harsh,2,3.3333333333333335,-138.56778,16.666666666666664,0.3,73.8,48.78377333333334,22.466666666666665,9.1298,5.5526,59.43333333333333,1,30
DuelingDoubleDQN,harsh,3,16.666666666666664,-144.02705666666668,43.333333333333336,1.6333333333333333,67.73333333333333,34.51589666666667,21.0,9.1944,3.1784600000000003,52.833333333333336,5,30
DuelingDoubleDQN,harsh,4,46.666666666666664,-64.33867666666667,43.333333333333336,1.2,40.833333333333336,22.230546666666665,16.3,13.463035714285713,2.301757142857143,42.46666666666667,14,30
DuelingDoubleDQN,harsh,5,43.333333333333336,-69.84448333333333,56.666666666666664,1.3,44.63333333333333,34.24760333333334,15.9,8.890130769230769,2.140107692307692,41.63333333333333,13,30
DuelingDoubleDQN,harsh,6,0.0,-167.73849666666666,43.333333333333336,1.2,72.16666666666667,61.68821666666667,23.866666666666667,,,60.0,0,30
DuelingDoubleDQN,harsh,7,43.333333333333336,-76.85593333333333,53.333333333333336,1.3,53.9,23.58275666666667,18.0,9.0605,3.202753846153846,46.266666666666666,13,30
DuelingDoubleDQN,harsh,8,46.666666666666664,-83.88522999999999,36.666666666666664,1.6666666666666667,51.06666666666667,23.988536666666665,18.433333333333334,11.403371428571427,2.7918,49.2,14,30
DuelingDoubleDQN,harsh,9,70.0,-12.715053333333337,36.666666666666664,0.7333333333333333,46.06666666666667,17.736159999999998,16.033333333333335,13.742057142857144,2.7834476190476187,39.3,21,30
DuelingDoubleDQN,harsh,10,10.0,-132.04810666666665,36.666666666666664,0.5666666666666667,72.4,43.94619,22.433333333333334,10.673699999999998,1.4053666666666669,55.766666666666666,3,30
DuelingDoubleDQN,harsh,11,40.0,-153.54639333333336,56.666666666666664,3.2666666666666666,44.833333333333336,26.23790666666667,18.2,14.133091666666667,2.4824083333333333,45.2,12,30
DuelingDoubleDQN,harsh,12,10.0,-146.23216333333338,26.666666666666668,0.8,76.06666666666666,72.58471333333334,21.966666666666665,18.76663333333333,3.1563,55.666666666666664,3,30
