config_id,metric,n,shapiro_W,p_value,normal_at_0.05
DuelingDoubleDQN+PER,revisit_rate,10,0.8652811196331918,0.0880397376649178,True
DuelingDoubleDQN+PER,excess_cost,10,0.7993351540347411,0.014231286372298414,False
DuelingDoubleDQN+PER,route_risk,10,0.744127135302354,0.003026918906513003,False
DuelingDoubleDQN+PER,route_difficulty,10,0.7889949366481384,0.01065310716608029,False
DuelingDoubleDQN+PER+Noisy,success_rate,10,0.9488763774369585,0.6552245220131492,True
DuelingDoubleDQN+PER+Noisy,mean_reward,10,0.9407478516016462,0.5613646418266147,True
DuelingDoubleDQN+PER+Noisy,optimality_ratio,10,0.8450689020471984,0.050735511060301296,True
DuelingDoubleDQN+PER+Noisy,mean_steps,10,0.9297633717121393,0.4455687050215332,True
DuelingDoubleDQN+PER+Noisy,revisit_rate,10,0.9202974548980458,0.35944246781157674,True
DuelingDoubleDQN+PER+Noisy,excess_cost,10,0.7188693513720679,0.0014922670185383167,False
DuelingDoubleDQN+PER+Noisy,route_risk,10,0.9527562123297928,0.7011599521214202,True
DuelingDoubleDQN+PER+Noisy,route_difficulty,10,0.9746999770193623,0.9306773636177554,True
