algorithm,noise_std,packet_error_rate,seed,condition,success_rate,mean_reward,collision_rate,collisions_per_ep,iala_violations,cte_mean,dropped_frames,docking_accuracy,optimality_ratio,mean_steps,n_solved,n_eval
DoubleDQN,0.1,0.2,2,n0.1_p0.2,23.333333333333332,-101.31924666666667,16.666666666666664,0.16666666666666666,22.3,69.49474333333333,10.633333333333333,5.132571428571429,3.1273857142857144,55.266666666666666,7,30
DoubleDQN,0.1,0.2,3,n0.1_p0.2,30.0,-73.37031333333334,36.666666666666664,0.43333333333333335,18.6,12.035176666666668,8.566666666666666,4.985122222222222,4.429744444444444,47.733333333333334,9,30
DoubleDQN,0.1,0.2,4,n0.1_p0.2,56.666666666666664,-1.0960399999999964,3.3333333333333335,0.03333333333333333,5.9,10.11972,6.933333333333334,5.314964705882352,1.5257941176470589,35.666666666666664,17,30
DoubleDQN,0.1,0.2,5,n0.1_p0.2,3.3333333333333335,-165.01677333333328,33.33333333333333,1.0666666666666667,21.8,113.43717333333332,11.466666666666667,3.9749,1.0,58.03333333333333,1,30
DoubleDQN,0.1,0.4,0,n0.1_p0.4,43.333333333333336,-64.28467333333334,50.0,1.1666666666666667,22.766666666666666,29.259796666666663,15.4,8.40776923076923,1.3677846153846156,39.56666666666667,13,30
DoubleDQN,0.1,0.4,1,n0.1_p0.4,13.333333333333334,-154.88695,33.33333333333333,1.4333333333333333,51.43333333333333,61.74563,22.333333333333332,4.786650000000001,4.3835,57.06666666666667,4,30
DoubleDQN,0.1,0.4,2,n0.1_p0.4,3.3333333333333335,-153.62973,23.333333333333332,0.3,54.9,109.4181766666667,21.866666666666667,0.5192,3.6632,59.1,1,30
DoubleDQN,0.1,0.4,3,n0.1_p0.4,10.0,-123.95546333333336,10.0,0.16666666666666666,53.2,40.64445666666667,23.433333333333334,7.270133333333334,5.411566666666666,58.233333333333334,3,30
DoubleDQN,0.1,0.4,4,n0.1_p0.4,46.666666666666664,-37.310829999999996,23.333333333333332,0.4,18.633333333333333,16.37098,16.2,7.99692857142857,1.7360428571428572,41.96666666666667,14,30
DoubleDQN,0.1,0.4,5,n0.1_p0.4,3.3333333333333335,-163.00483333333332,33.33333333333333,1.1666666666666667,44.833333333333336,65.28668,22.8,2.6118,1.0,58.03333333333333,1,30
DoubleDQN,0.25,0.0,0,n0.25_p0.0,56.666666666666664,-80.66300666666667,70.0,2.7,23.166666666666668,11.050826666666666,0.0,5.352182352941177,2.314305882352941,41.06666666666667,17,30
DoubleDQN,0.25,0.0,1,n0.25_p0.0,93.33333333333333,38.62346666666666,56.666666666666664,1.7333333333333334,10.466666666666667,8.882956666666667,0.0,6.0182214285714295,1.2394785714285717,19.0,28,30
DoubleDQN,0.25,0.0,2,n0.25_p0.0,40.0,-51.40108333333333,23.333333333333332,0.26666666666666666,26.566666666666666,18.60336666666667,0.0,3.865183333333333,2.157391666666667,45.233333333333334,12,30
DoubleDQN,0.25,0.0,3,n0.25_p0.0,20.0,-123.64181666666666,30.0,1.2333333333333334,35.03333333333333,43.51950000000001,0.0,4.962983333333334,2.46285,50.6,6,30
DoubleDQN,0.25,0.0,4,n0.25_p0.0,56.666666666666664,-10.992723333333334,16.666666666666664,0.2,20.833333333333332,12.442056666666666,0.0,6.09184705882353,1.9071823529411764,37.86666666666667,17,30
DoubleDQN,0.25,0.0,5,n0.25_p0.0,10.0,-138.70055000000002,43.333333333333336,0.7333333333333333,33.8,97.34013,0.0,5.4599,1.1221666666666668,54.333333333333336,3,30
DoubleDQN,0.25,0.2,0,n0.25_p0.2,16.666666666666664,-116.63229666666665,40.0,0.5333333333333333,54.86666666666667,46.18924333333332,10.0,8.59106,2.8426,54.7,5,30
DoubleDQN,0.25,0.2,1,n0.25_p0.2,26.666666666666668,-124.14842666666667,46.666666666666664,1.6,50.93333333333333,67.97364666666665,10.333333333333334,10.4093375,3.3446750000000005,49.63333333333333,8,30
DoubleDQN,0.25,0.2,2,n0.25_p0.2,26.666666666666668,-92.97846333333332,33.33333333333333,0.6,48.0,28.632306666666672,10.666666666666666,5.570562499999999,2.4701375,51.63333333333333,8,30
DoubleDQN,0.25,0.2,3,n0.25_p0.2,23.333333333333332,-144.91212333333334,50.0,1.8,52.46666666666667,76.18846666666666,10.2,11.253014285714286,5.148428571428572,51.0,7,30
DoubleDQN,0.25,0.2,4,n0.25_p0.2,80.0,29.674436666666665,23.333333333333332,0.3333333333333333,21.1,11.502713333333332,6.166666666666667,10.159341666666666,2.0062458333333333,32.0,24,30
DoubleDQN,0.25,0.2,5,n0.25_p0.2,16.666666666666664,-116.01635333333336,33.33333333333333,0.4666666666666667,54.03333333333333,52.555393333333335,10.633333333333333,10.003,2.85396,53.6,5,30
DoubleDQN,0.25,0.4,0,n0.25_p0.4,0.0,-151.35118333333335,13.333333333333334,0.13333333333333333,83.13333333333334,78.23463666666666,23.6,,,60.0,0,30
DoubleDQN,0.25,0.4,1,n0.25_p0.4,46.666666666666664,-55.878286666666675,43.333333333333336,0.8666666666666667,47.36666666666667,30.858346666666662,15.366666666666667,11.078100000000003,2.43235,41.63333333333333,14,30
DoubleDQN,0.25,0.4,2,n0.25_p0.4,6.666666666666667,-131.7401,23.333333333333332,0.3333333333333333,77.36666666666666,31.74542333333334,22.0,8.5686,4.3384,58.63333333333333,2,30
DoubleDQN,0.25,0.4,3,n0.25_p0.4,26.666666666666668,-99.33325666666666,36.666666666666664,0.6666666666666666,66.46666666666667,30.90824666666667,20.466666666666665,8.831249999999999,6.4867,51.766666666666666,8,30
DoubleDQN,0.25,0.4,4,n0.25_p0.4,36.666666666666664,-79.60095333333332,26.666666666666668,0.5666666666666667,54.666666666666664,46.13765,19.4,14.332836363636364,3.735318181818182,49.43333333333333,11,30
DoubleDQN,0.25,0.4,5,n0.25_p0.4,16.666666666666664,-124.77488666666666,40.0,1.0,60.5,43.96952,21.566666666666666,12.456,6.2191,53.93333333333333,5,30
DuelingDQN,0.0,0.0,0,n0.0_p0.0,20.0,-76.96953,13.333333333333334,0.13333333333333333,0.0,11.580246666666666,0.0,0.0,1.0,50.13333333333333,6,30
DuelingDQN,0.0,0.0,1,n0.0_p0.0,20.0,-90.96538333333332,6.666666666666667,0.06666666666666667,0.0,28.959293333333335,0.0,0.0,1.1959833333333334,49.833333333333336,6,30
DuelingDQN,0.0,0.0,2,n0.0_p0.0,53.333333333333336,-3.8396566666666683,13.333333333333334,0.13333333333333333,0.0,1.11242,0.0,0.0,1.0,34.86666666666667,16,30
DuelingDQN,0.0,0.0,3,n0.0_p0.0,80.0,35.667080000000006,33.33333333333333,0.3333333333333333,0.0,0.21840333333333334,0.0,0.0,1.9139666666666668,35.233333333333334,24,30
DuelingDQN,0.0,0.0,4,n0.0_p0.0,30.0,-54.40969,0.0,0.0,0.0,4.9994000000000005,0.0,0.0,1.0,44.43333333333333,9,30
DuelingDQN,0.0,0.0,5,n0.0_p0.0,46.666666666666664,-33.59115333333333,46.666666666666664,0.4666666666666667,0.0,42.948146666666666,0.0,0.0,1.0,35.666666666666664,14,30
DuelingDQN,0.0,0.2,0,n0.0_p0.2,53.333333333333336,-69.22367666666668,66.66666666666666,1.8333333333333333,0.5,46.87751333333333,7.2,2.3979375000000003,2.11968125,40.7,16,30
DuelingDQN,0.0,0.2,1,n0.0_p0.2,26.666666666666668,-86.69510999999999,30.0,0.3,0.7,74.59046666666669,9.366666666666667,1.9569124999999998,1.66685,47.46666666666667,8,30
DuelingDQN,0.0,0.2,2,n0.0_p0.2,40.0,-38.54525333333334,10.0,0.1,0.36666666666666664,9.46694,8.9,2.18125,1.224375,42.13333333333333,12,30
DuelingDQN,0.0,0.2,3,n0.0_p0.2,6.666666666666667,-132.36382666666668,16.666666666666664,0.4,0.6333333333333333,33.53562000000001,10.2,2.6253,1.33785,56.36666666666667,2,30
DuelingDQN,0.0,0.2,4,n0.0_p0.2,43.333333333333336,-26.232276666666664,6.666666666666667,0.06666666666666667,0.4666666666666667,6.855276666666667,7.5,2.0796538461538465,1.3422615384615386,39.3,13,30
DuelingDQN,0.0,0.2,5,n0.0_p0.2,6.666666666666667,-133.48659666666666,23.333333333333332,0.3,0.3,86.89818666666669,11.233333333333333,1.3928,1.0,56.13333333333333,2,30
DuelingDQN,0.0,0.4,0,n0.0_p0.4,30.0,-94.83770666666666,30.0,0.6,17.533333333333335,78.15780333333333,18.8,4.665333333333333,2.107222222222222,47.833333333333336,9,30
DuelingDQN,0.0,0.4,1,n0.0_p0.4,16.666666666666664,-128.92618000000002,26.666666666666668,0.36666666666666664,20.833333333333332,121.25043333333333,21.566666666666666,1.30078,3.19234,55.43333333333333,5,30
DuelingDQN,0.0,0.4,2,n0.0_p0.4,10.0,-126.62392333333334,13.333333333333334,0.3,22.333333333333332,38.036503333333336,21.133333333333333,6.6284,1.9566000000000001,56.1,3,30
DuelingDQN,0.0,0.4,3,n0.0_p0.4,53.333333333333336,-60.96946666666667,46.666666666666664,1.7333333333333334,14.333333333333334,17.3002,14.633333333333333,5.69650625,2.14528125,38.0,16,30
DuelingDQN,0.0,0.4,4,n0.0_p0.4,16.666666666666664,-90.99024666666668,3.3333333333333335,0.03333333333333333,12.9,13.703186666666666,19.866666666666667,4.19372,1.22326,50.833333333333336,5,30
DuelingDQN,0.0,0.4,5,n0.0_p0.4,30.0,-71.71237333333333,33.33333333333333,0.43333333333333335,14.8,25.89815666666667,16.6,5.230544444444444,1.0877222222222223,43.766666666666666,9,30
DuelingDQN,0.1,0.0,0,n0.1_p0.0,0.0,-166.83256666666668,36.666666666666664,0.36666666666666664,0.3333333333333333,144.3801,0.0,,,60.0,0,30
DuelingDQN,0.1,0.0,1,n0.1_p0.0,36.666666666666664,-63.736066666666666,33.33333333333333,0.6333333333333333,0.3,45.23071,0.0,3.349190909090909,1.3616272727272727,42.6,11,30
DuelingDQN,0.1,0.0,2,n0.1_p0.0,53.333333333333336,-11.958773333333337,16.666666666666664,0.16666666666666666,0.36666666666666664,6.412566666666667,0.0,2.55658125,1.23698125,36.833333333333336,16,30
DuelingDQN,0.1,0.0,3,n0.1_p0.0,30.0,-58.03380666666668,3.3333333333333335,0.03333333333333333,0.4,9.564156666666666,0.0,2.2496333333333336,2.4446,45.233333333333334,9,30
DuelingDQN,0.1,0.0,4,n0.1_p0.0,46.666666666666664,-20.64115,10.0,0.1,0.16666666666666666,7.061439999999999,0.0,2.3873214285714286,1.7650928571428572,37.4,14,30
DuelingDQN,0.1,0.0,5,n0.1_p0.0,50.0,-31.347836666666662,50.0,0.5333333333333333,0.26666666666666666,43.48837666666667,0.0,1.9884266666666663,1.27422,34.6,15,30
DuelingDQN,0.1,0.2,0,n0.1_p0.2,30.0,-91.08115333333332,33.33333333333333,0.5333333333333333,17.766666666666666,101.91357666666667,8.266666666666667,6.090366666666666,1.3373666666666668,46.43333333333333,9,30
DuelingDQN,0.1,0.2,1,n0.1_p0.2,16.666666666666664,-118.82813333333335,30.0,0.43333333333333335,22.2,84.15239666666668,10.9,2.7682399999999996,2.2950600000000003,52.7,5,30
DuelingDQN,0.1,0.2,2,n0.1_p0.2,43.333333333333336,-41.91261,13.333333333333334,0.13333333333333333,16.1,29.736143333333338,9.333333333333334,5.535776923076924,1.6781384615384611,44.06666666666667,13,30
DuelingDQN,0.1,0.2,3,n0.1_p0.2,36.666666666666664,-83.29867333333331,36.666666666666664,1.2,17.566666666666666,27.697183333333335,8.4,4.736281818181818,1.8287,43.2,11,30
DuelingDQN,0.1,0.2,4,n0.1_p0.2,76.66666666666667,37.203356666666664,23.333333333333332,0.3,5.966666666666667,6.317430000000001,5.566666666666666,4.8635,1.4648913043478262,28.866666666666667,23,30
DuelingDQN,0.1,0.2,5,n0.1_p0.2,16.666666666666664,-128.65509666666665,50.0,1.0333333333333334,20.3,84.50312666666666,10.2,4.57274,1.09182,50.666666666666664,5,30
DuelingDQN,0.1,0.4,0,n0.1_p0.4,33.33333333333333,-98.03358000000001,73.33333333333333,1.6333333333333333,35.4,18.057380000000002,18.366666666666667,7.15244,1.51854,46.4,10,30
