agent,condition,metric,shapiro_W,p_value,normal
DuelingDoubleDQN,mid,success_rate,0.8994727848991197,0.09342491607463246,True
DuelingDoubleDQN,mid,mean_reward,0.8961347000544856,0.08309319848674981,True
DuelingDoubleDQN,mid,collision_rate,0.8928984915844909,0.07419462728706944,True
DuelingDoubleDQN,mid,collisions_per_ep,0.8761454842359075,0.04157677609255379,False
DuelingDoubleDQN,mid,iala_violations,0.933742812696804,0.3101395114547151,True
DuelingDoubleDQN,mid,cte_mean,0.645859367818073,6.93457497039835e-05,False
DuelingDoubleDQN,mid,docking_accuracy,0.9180170109601189,0.23583311942513946,True
DuelingDoubleDQN,mid,optimality_ratio,0.9326634441848715,0.36910429000952927,True
RuleBased,clean,success_rate,0.9437956668085143,0.4324999090484545,True
RuleBased,clean,mean_reward,0.9516787071405965,0.5512698068833102,True
RuleBased,clean,collision_rate,,,
RuleBased,clean,collisions_per_ep,,,
RuleBased,clean,iala_violations,,,
RuleBased,clean,cte_mean,0.8794006623487179,0.046478763389112776,False
RuleBased,clean,docking_accuracy,,,
RuleBased,clean,optimality_ratio,,,
RuleBased,harsh,success_rate,0.9437956668085143,0.4324999090484545,True
RuleBased,harsh,mean_reward,0.9643563833069699,0.7675216109251124,True
RuleBased,harsh,collision_rate,0.943465315215389,0.4279468359787125,True
RuleBased,harsh,collisions_per_ep,0.952889279413221,0.5710505938655068,True
RuleBased,harsh,iala_violations,0.921686365531813,0.20437547018165714,True
RuleBased,harsh,cte_mean,0.8818701857931929,0.05059834211031431,True
RuleBased,harsh,docking_accuracy,0.864490574463572,0.028031722831162325,False
RuleBased,harsh,optimality_ratio,,,
RuleBased,mid,success_rate,0.9437956668085143,0.4324999090484545,True
RuleBased,mid,mean_reward,0.951087075189447,0.5417335353995651,True
RuleBased,mid,collision_rate,0.957778578335597,0.6538586592704425,True
RuleBased,mid,collisions_per_ep,0.9494152746963279,0.5152889932959616,True
RuleBased,mid,iala_violations,0.9155281055526067,0.16458053747949902,True
RuleBased,mid,cte_mean,0.8849894936571366,0.056352276293119945,True
RuleBased,mid,docking_accuracy,0.8644896019488795,0.028030810022196498,False
RuleBased,mid,optimality_ratio,,,
