condition,metric,baseline,vs,n,mean_x,mean_y,mean_diff,wilcoxon_p,t_p,cohens_dz,cliffs_delta,wilcoxon_p_holm,wilcoxon_p_bh,sig_holm,effect_mag
harsh,cte_mean,RuleBased,DoubleDQN,15,22.83409777777778,42.25247622222222,-19.41837844444444,0.00018310546875,0.0005723533881891173,-1.143481688895664,-0.7155555555555555,0.000732421875,0.000732421875,True,large
harsh,cte_mean,RuleBased,DuelingDQN,15,22.83409777777778,35.57537222222222,-12.741274444444441,0.0067138671875,0.01629960997408875,-0.7046538217567766,-0.40444444444444444,0.0201416015625,0.013427734375,True,medium
harsh,cte_mean,RuleBased,DuelingDoubleDQN,15,22.83409777777778,35.957752222222226,-13.123654444444446,0.012451171875,0.013475870304186753,-0.7296375315990707,-0.52,0.02490234375,0.0166015625,True,medium
harsh,docking_accuracy,RuleBased,DQN,15,10.581219606198465,9.873165311051695,0.7080542951467729,0.638671875,0.5231262858047745,0.16910311176918266,0.09333333333333334,1.0,0.7608642578125,False,negligible
harsh,docking_accuracy,RuleBased,DoubleDQN,14,10.68381922092693,10.984685990259738,-0.30086676933281176,0.7608642578125,0.8222878817225927,-0.06125349165471852,-0.030612244897959183,1.0,0.7608642578125,False,negligible
harsh,docking_accuracy,RuleBased,DuelingDQN,15,10.581219606198465,11.613411130084831,-1.03219152388636,0.359130859375,0.43385985409459127,-0.2080439145199186,-0.2,1.0,0.7608642578125,False,small
harsh,docking_accuracy,RuleBased,DuelingDoubleDQN,14,10.548170074964194,11.249675124518339,-0.7015050495541423,0.42626953125,0.5675076072662528,-0.15678032630129554,-0.16326530612244897,1.0,0.7608642578125,False,negligible
harsh,optimality_ratio,RuleBased,DQN,15,1.0,3.652561278584161,-2.652561278584161,6.103515625e-05,6.041088575451648e-05,-1.4576237283840778,-1.0,0.000244140625,0.0001220703125,True,large
harsh,optimality_ratio,RuleBased,DoubleDQN,14,1.0,4.134989215367965,-3.1349892153679653,0.0001220703125,2.9277305062043366e-05,-1.6728869036975502,-1.0,0.000244140625,0.0001220703125,True,large
harsh,optimality_ratio,RuleBased,DuelingDQN,15,1.0,2.924930588019193,-1.9249305880191931,6.103515625e-05,3.5155562075474765e-08,-2.79207026415742,-1.0,0.000244140625,0.0001220703125,True,large
harsh,optimality_ratio,RuleBased,DuelingDoubleDQN,14,1.0,2.848263552994624,-1.848263552994624,0.0001220703125,1.7143067028545087e-05,-1.7640319541533362,-1.0,0.000244140625,0.0001220703125,True,large
