config_id,pairing,condition,noise_std,packet_error_rate,seed,env_seed,phase,episode,direction,agent,reward,success,steps,collisions,cte_mean,iala_violations,dropped_frames,docking_accuracy,lane,vessel_collisions,vessel_collision_flag,collision_contact_steps,near_misses,min_cpa,encounter_steps,give_way_events,head_on_events
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,25,inbound,RuleBased,-122.078,0,59,0,0,0,0,,L02,0,0,0,0,130,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,26,inbound,RuleBased,-124.036,0,59,0,0,0,0,,L02,0,0,0,0,130,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,27,inbound,RuleBased,-123.026,0,59,0,0,0,0,,L02,0,0,0,0,132.484,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,28,inbound,RuleBased,-127.056,0,59,0,0,0,0,,L08,0,0,0,0,113.719,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,29,inbound,RuleBased,-127.056,0,59,0,0,0,0,,L08,0,0,0,0,113.719,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,30,inbound,RuleBased,-124.946,0,59,0,0,0,0,,L02,0,0,0,0,132.484,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,1,outbound,RuleBased,-114.549,0,59,0,0,0,0,,L08,0,0,0,0,113.719,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,2,outbound,RuleBased,-114.549,0,59,0,0,0,0,,L08,0,0,0,0,102.9563,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,3,outbound,RuleBased,-114.549,0,59,0,0,0,0,,L02,0,0,0,0,132.484,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,4,outbound,RuleBased,-114.549,0,59,0,0,0,0,,L08,0,0,0,0,113.719,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,5,outbound,RuleBased,-114.549,0,59,0,0,0,0,,L08,0,0,0,0,113.719,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,6,outbound,RuleBased,-114.549,0,59,0,0,0,0,,L02,0,0,0,0,132.484,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,7,outbound,RuleBased,-114.549,0,59,0,0,0,0,,L02,0,0,0,0,132.484,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,8,outbound,RuleBased,-114.549,0,59,0,0,0,0,,L02,0,0,0,0,132.484,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,9,outbound,RuleBased,-114.549,0,59,0,0,0,0,,L02,0,0,0,0,130,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,10,outbound,RuleBased,-114.549,0,59,0,0,0,0,,L08,0,0,0,0,113.719,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,11,outbound,RuleBased,-114.549,0,59,0,0,0,0,,L08,0,0,0,0,113.719,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,12,outbound,RuleBased,-114.549,0,59,0,0,0,0,,L08,0,0,0,0,113.719,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,13,outbound,RuleBased,-114.549,0,59,0,0,0,0,,L02,0,0,0,0,130,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,14,outbound,RuleBased,-114.549,0,59,0,0,0,0,,L08,0,0,0,0,102.9563,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,15,outbound,RuleBased,-114.549,0,59,0,0,0,0,,L08,0,0,0,0,102.9563,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,16,outbound,RuleBased,-114.549,0,59,0,0,0,0,,L02,0,0,0,0,132.484,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,17,outbound,RuleBased,-114.549,0,59,0,0,0,0,,L08,0,0,0,0,113.719,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,18,outbound,RuleBased,-114.549,0,59,0,0,0,0,,L02,0,0,0,0,130,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,19,outbound,RuleBased,-114.549,0,59,0,0,0,0,,L08,0,0,0,0,113.719,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,20,outbound,RuleBased,-114.549,0,59,0,0,0,0,,L08,0,0,0,0,113.719,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,21,outbound,RuleBased,-114.549,0,59,0,0,0,0,,L02,0,0,0,0,130,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,22,outbound,RuleBased,-114.549,0,59,0,0,0,0,,L08,0,0,0,0,113.719,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,23,outbound,RuleBased,-114.549,0,59,0,0,0,0,,L02,0,0,0,0,132.484,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,24,outbound,RuleBased,-114.549,0,59,0,0,0,0,,L02,0,0,0,0,132.484,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,25,outbound,RuleBased,-114.549,0,59,0,0,0,0,,L02,0,0,0,0,130,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,26,outbound,RuleBased,-114.549,0,59,0,0,0,0,,L02,0,0,0,0,130,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,27,outbound,RuleBased,-114.549,0,59,0,0,0,0,,L02,0,0,0,0,132.484,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,28,outbound,RuleBased,-114.549,0,59,0,0,0,0,,L08,0,0,0,0,113.719,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,29,outbound,RuleBased,-114.549,0,59,0,0,0,0,,L08,0,0,0,0,113.719,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,1,43,eval,30,outbound,RuleBased,-114.549,0,59,0,0,0,0,,L02,0,0,0,0,132.484,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,2,44,eval,1,inbound,RuleBased,-133.048,0,59,0,0,0,0,,L08,0,0,0,0,113.719,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,2,44,eval,2,inbound,RuleBased,44.659,1,13,0,0,0,0,0,L02,1,1,2,0,0,2,1,1
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,2,44,eval,3,inbound,RuleBased,69.58,1,16,0,0,0,0,0,L02,1,1,1,1,0,3,1,1
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,2,44,eval,4,inbound,RuleBased,-130.845,0,59,0,0,0,0,,L08,0,0,0,0,113.719,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,2,44,eval,5,inbound,RuleBased,-133.048,0,59,0,0,0,0,,L08,0,0,0,0,113.719,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,2,44,eval,6,inbound,RuleBased,-133.048,0,59,0,0,0,0,,L08,0,0,0,0,113.719,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,2,44,eval,7,inbound,RuleBased,-131.979,0,59,0,0,0,0,,L08,0,0,0,0,102.9563,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,2,44,eval,8,inbound,RuleBased,-130.845,0,59,0,0,0,0,,L08,0,0,0,0,113.719,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,2,44,eval,9,inbound,RuleBased,-131.979,0,59,0,0,0,0,,L08,0,0,0,0,102.9563,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,2,44,eval,10,inbound,RuleBased,69.58,1,16,0,0,0,0,0,L02,1,1,1,1,0,3,1,1
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,2,44,eval,11,inbound,RuleBased,-131.979,0,59,0,0,0,0,,L08,0,0,0,0,102.9563,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,2,44,eval,12,inbound,RuleBased,-130.845,0,59,0,0,0,0,,L08,0,0,0,0,113.719,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,2,44,eval,13,inbound,RuleBased,-130.845,0,59,0,0,0,0,,L08,0,0,0,0,113.719,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,2,44,eval,14,inbound,RuleBased,-130.845,0,59,0,0,0,0,,L08,0,0,0,0,113.719,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,2,44,eval,15,inbound,RuleBased,-130.845,0,59,0,0,0,0,,L08,0,0,0,0,113.719,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,2,44,eval,16,inbound,RuleBased,-130.845,0,59,0,0,0,0,,L08,0,0,0,0,113.719,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,2,44,eval,17,inbound,RuleBased,43.315,1,15,0,0,0,0,0,L02,1,1,2,0,0,2,1,1
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,2,44,eval,18,inbound,RuleBased,-131.979,0,59,0,0,0,0,,L08,0,0,0,0,102.9563,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,2,44,eval,19,inbound,RuleBased,-131.979,0,59,0,0,0,0,,L08,0,0,0,0,102.9563,0,0,0
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,2,44,eval,20,inbound,RuleBased,69.58,1,16,0,0,0,0,0,L02,1,1,1,1,0,3,1,1
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,2,44,eval,21,inbound,RuleBased,43.315,1,15,0,0,0,0,0,L02,1,1,2,0,0,2,1,1
twoway_Rule_vs_Rule_clean,Rule_vs_Rule,clean,0,0,2,44,eval,22,inbound,RuleBased,-131.979,0,59,0,0,0,0,,L08,0,0,0,0,102.9563,0,0,0
