algorithm,noise_std,packet_error_rate,metric,shapiro_W,p_value,normal
DuelingDQN,0.0,0.2,collisions_per_ep,0.6719381067620508,0.0030867520413003177,False
DuelingDQN,0.0,0.2,iala_violations,0.9633825414113134,0.8453923920465872,True
DuelingDQN,0.0,0.2,cte_mean,0.9211903842714295,0.5139755918562754,True
DuelingDQN,0.0,0.2,docking_accuracy,0.9595490116240681,0.8162580908764561,True
DuelingDQN,0.0,0.2,dropped_frames,0.956212669225307,0.7901285700546722,True
DuelingDQN,0.0,0.2,optimality_ratio,0.9225682700459948,0.5240480067166691,True
DuelingDQN,0.0,0.4,success_rate,0.8886717692724435,0.3112867964368561,True
DuelingDQN,0.0,0.4,mean_reward,0.9144258070313467,0.46614650595453166,True
DuelingDQN,0.0,0.4,collision_rate,0.9744329298744838,0.9207777462479279,True
DuelingDQN,0.0,0.4,collisions_per_ep,0.7887245305135882,0.04641899947496119,False
DuelingDQN,0.0,0.4,iala_violations,0.9170795699817599,0.4845797286162294,True
DuelingDQN,0.0,0.4,cte_mean,0.8492643334867565,0.1552624896214551,True
DuelingDQN,0.0,0.4,docking_accuracy,0.905893295439135,0.40993473375357903,True
DuelingDQN,0.0,0.4,dropped_frames,0.9312466635616005,0.5897631694003986,True
DuelingDQN,0.0,0.4,optimality_ratio,0.9179017906933161,0.49037880184503646,True
DuelingDQN,0.1,0.0,success_rate,0.8564367633442491,0.17727262554718598,True
DuelingDQN,0.1,0.0,mean_reward,0.8076652540298437,0.06881076036246578,True
DuelingDQN,0.1,0.0,collision_rate,0.9520726248383999,0.7570298574353229,True
DuelingDQN,0.1,0.0,collisions_per_ep,0.9230018776543617,0.5272396419816187,True
DuelingDQN,0.1,0.0,iala_violations,0.9566856934922514,0.7938682484891272,True
DuelingDQN,0.1,0.0,cte_mean,0.7475995919356728,0.018869412389230407,False
DuelingDQN,0.1,0.0,docking_accuracy,0.9022323136442163,0.422346345043191,True
DuelingDQN,0.1,0.0,dropped_frames,,,
DuelingDQN,0.1,0.0,optimality_ratio,0.8205575362163003,0.11792895938314724,True
DuelingDQN,0.1,0.2,success_rate,0.8744609527674032,0.24457300281947952,True
DuelingDQN,0.1,0.2,mean_reward,0.8878360512296064,0.3070043785553026,True
DuelingDQN,0.1,0.2,collision_rate,0.9897275406444146,0.9884993950922798,True
DuelingDQN,0.1,0.2,collisions_per_ep,0.9136296997642062,0.46070258154846583,True
DuelingDQN,0.1,0.2,iala_violations,0.8425535559613342,0.13685213995626516,True
DuelingDQN,0.1,0.2,cte_mean,0.8810425048362046,0.27387880817820826,True
DuelingDQN,0.1,0.2,docking_accuracy,0.9153695970611135,0.4726519957590192,True
DuelingDQN,0.1,0.2,dropped_frames,0.9365626538680734,0.6316437454042565,True
DuelingDQN,0.1,0.2,optimality_ratio,0.977603384989867,0.9390434189919112,True
DuelingDQN,0.1,0.4,success_rate,0.896336610130297,0.35272897906589823,True
DuelingDQN,0.1,0.4,mean_reward,0.8454443998199966,0.14453546151233576,True
DuelingDQN,0.1,0.4,collision_rate,0.9045445490189393,0.4014886860182224,True
DuelingDQN,0.1,0.4,collisions_per_ep,0.9074005749742016,0.41951719528243325,True
DuelingDQN,0.1,0.4,iala_violations,0.9639428665580779,0.8495517695318333,True
DuelingDQN,0.1,0.4,cte_mean,0.657954091270833,0.002161657173464925,False
DuelingDQN,0.1,0.4,docking_accuracy,0.893572327173646,0.3373300722636547,True
DuelingDQN,0.1,0.4,dropped_frames,0.9394636948051699,0.6548804604757894,True
DuelingDQN,0.1,0.4,optimality_ratio,0.9704301229788749,0.8953112450088335,True
DuelingDQN,0.25,0.0,success_rate,0.8803610779183735,0.27071938047865207,True
DuelingDQN,0.25,0.0,mean_reward,0.891214065289984,0.3245979333954413,True
DuelingDQN,0.25,0.0,collision_rate,0.8442309884070441,0.14126578682151913,True
DuelingDQN,0.25,0.0,collisions_per_ep,0.9158557357491949,0.47602462372910964,True
DuelingDQN,0.25,0.0,iala_violations,0.9141415523683339,0.4641981224114172,True
DuelingDQN,0.25,0.0,cte_mean,0.8431199248708218,0.13832869486801708,True
DuelingDQN,0.25,0.0,docking_accuracy,0.9133413890350585,0.4587409702315506,True
DuelingDQN,0.25,0.0,dropped_frames,,,
DuelingDQN,0.25,0.0,optimality_ratio,0.803589088731579,0.06329491109260266,True
DuelingDQN,0.25,0.2,success_rate,0.9078476294959751,0.422388352255581,True
DuelingDQN,0.25,0.2,mean_reward,0.9664379486183974,0.8677091547903031,True
DuelingDQN,0.25,0.2,collision_rate,0.8706829416516886,0.22894084332357784,True
DuelingDQN,0.25,0.2,collisions_per_ep,0.9694231283054822,0.8885370984688727,True
DuelingDQN,0.25,0.2,iala_violations,0.9415545196652714,0.6717482836180612,True
DuelingDQN,0.25,0.2,cte_mean,0.8683860924854261,0.21984732745601854,True
DuelingDQN,0.25,0.2,docking_accuracy,0.9254704126091432,0.5456034731531737,True
DuelingDQN,0.25,0.2,dropped_frames,0.8950953612561751,0.345750833337671,True
DuelingDQN,0.25,0.2,optimality_ratio,0.6335428235984583,0.0011417654059617788,False
DuelingDQN,0.25,0.4,success_rate,0.878421700886268,0.26188725041632827,True
DuelingDQN,0.25,0.4,mean_reward,0.9301855047137129,0.5815352053070271,True
DuelingDQN,0.25,0.4,collision_rate,0.8443980824147308,0.141712175166393,True
DuelingDQN,0.25,0.4,collisions_per_ep,0.9482693228865281,0.7262463004404546,True
DuelingDQN,0.25,0.4,iala_violations,0.8721447862529694,0.23488889322593293,True
DuelingDQN,0.25,0.4,cte_mean,0.8480596200531072,0.15180724380676863,True
DuelingDQN,0.25,0.4,docking_accuracy,0.9460727280278594,0.7084011400657041,True
DuelingDQN,0.25,0.4,dropped_frames,0.9242459865099503,0.5364541121881519,True
DuelingDQN,0.25,0.4,optimality_ratio,0.9434203922215044,0.6868618508699654,True
DuelingDoubleDQN,0.0,0.0,success_rate,0.9513906437359024,0.7515286237647305,True
