config_id,algorithm,per,noisy,seed,success_rate,mean_reward,mean_steps,invalid_rate,revisit_rate,optimality_ratio,excess_cost,route_risk,route_difficulty,n_solved,n_eval
DuelingDoubleDQN,DuelingDoubleDQN,0,0,8,47.5,-26.310149999999975,41.525,0.0,30.525,3.422021052631579,57.90526315789474,1.0550526315789472,2.7559473684210527,19,40
DuelingDoubleDQN,DuelingDoubleDQN,0,0,9,70.0,26.033949999999994,25.2,0.0,16.95,1.0,0.0,0.4067142857142857,1.3032142857142854,28,40
DuelingDoubleDQN+Noisy,DuelingDoubleDQN,0,1,0,32.5,-46.35394999999999,44.125,0.0,31.075,1.0,0.0,0.5467692307692308,1.5082307692307695,13,40
DuelingDoubleDQN+Noisy,DuelingDoubleDQN,0,1,1,57.49999999999999,0.6752249999999946,32.6,0.0,21.925,1.0985565217391304,7.116521739130434,0.6725652173913043,1.8959565217391303,23,40
DuelingDoubleDQN+Noisy,DuelingDoubleDQN,0,1,2,0.0,-123.57517499999999,60.0,0.0,49.925,,,,,0,40
DuelingDoubleDQN+Noisy,DuelingDoubleDQN,0,1,3,27.500000000000004,-66.09385000000002,45.625,0.0,39.475,1.0,0.0,0.35972727272727273,0.9944545454545453,11,40
DuelingDoubleDQN+Noisy,DuelingDoubleDQN,0,1,4,75.0,39.847550000000005,24.375,0.0,12.0,1.00527,0.3383333333333333,0.6571333333333335,1.6385333333333334,30,40
DuelingDoubleDQN+Noisy,DuelingDoubleDQN,0,1,5,17.5,-88.55977500000003,51.85,0.0,44.85,1.1333857142857142,9.917142857142858,0.622,1.7127142857142856,7,40
DuelingDoubleDQN+Noisy,DuelingDoubleDQN,0,1,6,0.0,-121.73009999999995,60.0,0.0,49.375,,,,,0,40
DuelingDoubleDQN+Noisy,DuelingDoubleDQN,0,1,7,42.5,-29.910725000000024,39.65,0.0,27.475,1.0,0.0,0.578529411764706,1.5090588235294116,17,40
DuelingDoubleDQN+Noisy,DuelingDoubleDQN,0,1,8,87.5,65.07412500000001,18.875,0.0,6.25,1.0,0.0,0.6561428571428571,1.5927142857142857,35,40
DuelingDoubleDQN+Noisy,DuelingDoubleDQN,0,1,9,57.49999999999999,2.0595499999999847,32.975,0.0,20.875,1.0201521739130437,1.7652173913043478,0.5299130434782608,1.6697391304347828,23,40
